/data/SuiteSparse_triangular_new/vt2010.csr,32580,110379,3.39,0.70,1629.00,1.15
/data/SuiteSparse_triangular_new/wa2010.csr,195574,669290,3.42,0.68,6519.13,1.60
/data/SuiteSparse_triangular_new/wang3.csr,26064,101616,3.90,0.08,299.59,0.78
/data/SuiteSparse_triangular_new/wang4.csr,26068,101632,3.90,0.08,303.12,0.77
/data/SuiteSparse_triangular_new/water_tank.csr,60740,1045090,17.21,0.38,48.40,0.82
/data/SuiteSparse_triangular_new/wathen100.csr,30401,251001,8.26,0.24,37.95,0.55
/data/SuiteSparse_triangular_new/wathen120.csr,36441,301101,8.26,0.24,39.57,0.52
/data/SuiteSparse_triangular_new/watson_1.csr,201155,389672,1.94,2.11,5747.29,3.22
/data/SuiteSparse_triangular_new/watson_2.csr,352013,357630,1.02,0.15,88003.25,1.70
/data/SuiteSparse_triangular_new/wave.csr,156317,1215648,7.78,0.43,155.23,2.68
/data/SuiteSparse_triangular_new/wb-edu.csr,9845725,35662619,3.62,3.23,3633.11,25.15
/data/SuiteSparse_triangular_new/web-BerkStan.csr,685230,4425244,6.46,1.60,163.27,12.51
/data/SuiteSparse_triangular_new/web-Google.csr,916428,3336976,3.64,1.14,25456.33,2.44
/data/SuiteSparse_triangular_new/web-NotreDame.csr,325729,1034319,3.18,2.87,1175.92,10.83
/data/SuiteSparse_triangular_new/web-Stanford.csr,281903,1413271,5.01,1.38,4945.67,2.01
/data/SuiteSparse_triangular_new/webbase-1M.csr,1000005,2348442,2.35,1.05,1953.13,4.92
/data/SuiteSparse_triangular_new/wheel_601.csr,902103,2170103,2.41,3.99,75175.25,1.35
/data/SuiteSparse_triangular_new/wi2010.csr,253096,857798,3.39,0.64,9734.46,1.43
/data/SuiteSparse_triangular_new/wiki-Talk.csr,2394385,3072221,1.28,2.99,4649.29,21.36
/data/SuiteSparse_triangular_new/wikipedia-20051105.csr,1634989,15512976,9.49,2.17,1284.36,3.60
/data/SuiteSparse_triangular_new/wikipedia-20060925.csr,2983494,29087120,9.75,2.16,2341.83,3.20
/data/SuiteSparse_triangular_new/wikipedia-20061104.csr,3148440,30748191,9.77,2.17,2504.73,3.11
/data/SuiteSparse_triangular_new/wikipedia-20070206.csr,3566907,35178717,9.86,2.12,2573.53,3.43
/data/SuiteSparse_triangular_new/wing.csr,62032,183576,2.96,0.49,4771.69,1.07
/data/SuiteSparse_triangular_new/wv2010.csr,135218,466679,3.45,0.76,5408.72,1.32
/data/SuiteSparse_triangular_new/wy2010.csr,86204,299997,3.48,0.74,3315.54,1.38
/data/SuiteSparse_triangular_new/x104.csr,108384,5138004,47.41,0.37,21.71,0.65
/data/SuiteSparse_triangular_new/xenon1.csr,48600,614860,12.65,0.51,190.59,1.11
/data/SuiteSparse_triangular_new/xenon2.csr,157464,2012076,12.78,0.50,475.72,1.29
